
Pos,,Conf,Tm,Age,Yrs,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Tkl,Sk,Int,All-pro teams
QB,Ben Roethlisberger+%,AFC,PIT,25,3,15,15,264,404,3154,32,11,35,204,2,0,0,0,1,0.0,0,
WR,Torry Holt+%,NFC,STL,31,8,16,16,0,0,0,0,0,0,0,0,93,1189,7,4,0.0,0,
LILB,Ray Lewis+%,AFC,BAL,32,11,14,14,0,0,0,0,0,0,0,0,0,0,0,82,2.0,2,
RB,Willis McGahee+%,AFC,BAL,26,3,15,15,0,0,0,0,0,294,1207,7,43,231,1,1,0.0,0,
LT,Jonathan Ogden+%,AFC,BAL,33,11,11,10,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,
LG,Kris Dielman+%,AFC,SDG,26,4,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,
LT,Marcus McNeill+%,AFC,SDG,24,1,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,
,Kassim Osgood+%,AFC,SDG,27,4,16,0,0,0,0,0,0,0,0,0,2,23,0,12,0.0,0,
NT,Jamal Williams+%,AFC,SDG,31,9,13,13,0,0,0,0,0,0,0,0,0,0,0,32,0.0,0,
QB,Matt Hasselbeck+%,NFC,SEA,32,8,16,16,352,562,3966,28,12,39,89,0,0,0,0,0,0.0,0,
RLB,Julian Peterson+%,NFC,SEA,29,7,16,16,0,0,0,0,0,0,0,0,0,0,0,63,9.5,2,
QB,Jeff Garcia+%,NFC,TAM,37,8,13,13,209,327,2440,13,4,35,116,1,0,0,0,2,0.0,0,
,Ethan Albright+%,NFC,WAS,36,12,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,
TE,Chris Cooley+%,NFC,WAS,25,3,16,16,0,0,0,0,0,0,0,0,66,786,8,1,0.0,0,
LT,Chris Samuels+%,NFC,WAS,30,7,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,
